lot_id,tray_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
LOT-102,TRAY-1097,217541,87746,44156,119,3565,404,460,405,1819,3906,3449,118,291,291,43010,8,344584,5,209517,5
LOT-102,TRAY-1098,217540,87746,44156,118,3568,405,464,405,1669,3903,3391,119,290,290,43010,8,344584,5,209517,5
LOT-102,TRAY-1099,217278,87748,44222,118,3571,406,469,405,1821,3913,3526,118,290,290,43114,5,343917,5,209569,6
LOT-102,TRAY-1100,217277,87748,44222,118,3562,405,462,405,1835,3905,3502,118,290,290,43115,5,343918,5,209571,6
LOT-102,TRAY-1102,215416,87502,45331,117,3582,404,458,404,1695,3910,3401,118,290,290,42961,5,343864,6,209363,5
LOT-102,TRAY-1103,217272,86461,44981,118,3592,404,446,405,1637,3914,3400,118,290,290,43030,5,343286,5,209420,6
LOT-102,TRAY-1104,217272,86461,44981,118,3558,405,452,406,1675,3880,3431,118,290,291,43028,5,343285,5,209419,6
LOT-102,TRAY-1105,215437,87555,45134,118,3587,405,455,404,1742,3909,3435,119,290,290,42995,5,341422,5,209585,5
LOT-102,TRAY-1106,215437,87556,45134,118,3552,405,458,405,1752,3875,3470,118,290,292,42994,5,341422,5,209584,5
LOT-102,TRAY-1108,217117,86476,45687,119,3585,405,448,405,1698,3911,3430,118,290,290,42998,5,343050,5,209542,5
LOT-102,TRAY-1109,217131,86456,45460,119,3565,404,458,405,1775,3911,3462,118,290,291,42929,5,342485,5,209568,9
LOT-102,TRAY-1111,217252,86499,45377,118,3601,405,458,405,1795,3928,3377,117,290,291,42878,5,343033,5,209517,5
LOT-102,TRAY-1112,217252,86499,45377,118,3578,405,456,405,1769,3911,3456,118,290,291,42877,5,343032,5,209517,5
LOT-102,TRAY-1113,216633,87672,47254,118,3570,404,454,404,1777,3914,3455,118,290,291,43038,5,344572,5,209495,6
LOT-102,TRAY-1114,216633,87672,47252,118,3578,404,461,405,1770,3909,3437,118,289,292,43038,5,344572,5,209495,6
LOT-102,TRAY-1116,217159,87473,46810,119,3593,405,447,405,1734,3931,3410,118,291,291,42973,5,343786,5,209511,5
LOT-102,TRAY-1117,216833,87580,47044,119,3562,405,458,405,1799,3900,3467,118,290,291,43075,8,342712,5,209574,5
LOT-102,TRAY-1120,217057,87315,46682,119,3587,404,450,404,1641,3912,3399,118,290,290,42971,5,346302,5,209661,6
LOT-102,TRAY-1121,217051,87242,46556,119,3574,404,450,404,1715,3911,3438,118,290,291,42890,5,345707,5,210347,6
LOT-102,TRAY-1125,216896,87178,46708,118,3587,405,452,405,1834,3914,3492,117,290,291,42843,6,344234,6,209531,5
LOT-102,TRAY-1129,216888,86468,46856,118,3571,406,453,405,1834,3910,3511,118,290,291,42972,5,343786,5,209511,5
LOT-102,TRAY-1132,216623,86467,46650,118,3549,405,459,405,1843,3897,3461,118,290,292,42971,5,346303,5,209662,6
LOT-102,TRAY-1147,214621,87307,46005,119,3569,405,463,405,1700,3894,3366,118,290,291,43006,5,344518,4,209610,6
LOT-103,TRAY-1110,217132,86455,45460,119,3575,404,448,404,1800,3915,3487,117,291,291,42929,5,342486,5,209568,9
LOT-103,TRAY-1115,217159,87473,46811,119,3583,405,451,405,1640,3913,3407,118,290,291,43077,8,342712,5,209575,5
LOT-103,TRAY-1118,216833,87580,47045,118,3558,405,456,404,1786,3906,3467,118,290,292,42905,8,343973,5,209435,5
LOT-103,TRAY-1119,217057,87316,46682,119,3588,404,459,404,1664,3915,3443,118,290,290,42906,8,343973,5,209435,5
LOT-103,TRAY-1122,217051,87243,46556,119,7087,404,488,405,1881,7683,5724,118,279,280,43148,6,353012,6,209380,6
LOT-103,TRAY-1123,216614,87448,46698,118,3566,405,445,405,1532,3893,3417,118,290,291,42898,7,344431,5,209449,5
LOT-103,TRAY-1124,216614,87449,46698,118,3622,405,448,404,1544,3954,3374,118,269,269,42899,7,344431,5,209450,5
LOT-103,TRAY-1126,216896,87178,46707,118,3585,405,450,405,1736,3917,3462,118,280,280,42881,6,342744,5,209580,5
LOT-103,TRAY-1127,216698,87214,46625,118,3578,405,457,404,1700,3900,3419,118,290,291,42919,5,345658,6,210329,5
LOT-103,TRAY-1128,216888,86467,46857,118,3559,404,456,405,1859,3886,3452,118,290,290,42979,9,344691,5,209358,9
LOT-103,TRAY-1130,216687,87100,47021,118,3545,404,458,405,1894,3889,3415,118,279,280,42943,5,344097,5,209456,5
LOT-103,TRAY-1131,216688,87100,47021,118,3551,406,450,405,1749,3892,3392,117,290,291,42893,14,345792,5,209391,8
LOT-103,TRAY-1133,216622,86467,46650,118,3536,405,474,405,1939,3896,3549,118,290,291,42881,6,342744,5,209581,5
LOT-103,TRAY-1134,216343,87067,46976,118,3555,404,451,404,1670,3891,3333,119,289,291,43054,5,343858,13,209478,6
LOT-103,TRAY-1135,216342,87067,46976,118,3555,405,456,405,1872,3891,3506,118,290,291,42843,6,344234,6,209532,5
LOT-103,TRAY-1136,216532,87019,46981,118,3556,405,458,405,1739,3884,3394,118,290,291,43032,8,343512,5,210016,6
LOT-103,TRAY-1137,216532,87019,46981,118,3551,405,451,405,1716,3891,3423,118,290,290,42943,5,344726,5,209716,5
LOT-103,TRAY-1139,216311,87035,46795,119,3559,404,458,405,1652,3893,3363,118,290,291,42942,5,344097,5,209456,5
LOT-103,TRAY-1142,214968,87116,46376,118,3579,405,456,405,1850,3892,3508,118,280,280,43054,5,343858,13,209478,6
LOT-103,TRAY-1144,214741,87354,45535,118,3591,405,455,405,1598,3905,3426,118,291,290,42986,6,344392,8,209653,6
LOT-103,TRAY-1145,214740,87354,45534,118,3567,405,459,405,1969,3915,3534,118,280,280,42943,5,344726,5,209716,5
LOT-103,TRAY-1146,214621,87307,46006,118,3574,405,455,406,1745,3892,3388,118,290,291,42979,6,343801,5,209703,6
LOT-103,TRAY-1153,214733,87407,45204,118,3573,405,449,404,1812,3898,3467,118,290,292,43007,5,344519,4,209611,6
LOT-103,TRAY-1155,214416,87398,45171,118,3562,404,451,405,1770,3890,3432,118,290,291,43150,5,344946,5,210069,5
LOT-103,TRAY-1157,214853,86488,45912,118,3571,405,461,405,1684,3899,3389,118,290,290,43001,5,346015,6,210085,5
LOT-103,TRAY-1158,214383,86503,46122,118,3608,405,470,405,1552,3912,3481,117,279,280,43150,5,344946,5,210069,5
LOT-103,TRAY-1160,214540,87347,44873,118,3567,405,455,404,1733,3901,3431,118,290,291,43024,5,343909,5,209540,6
LOT-103,TRAY-1161,214539,87346,44872,118,3598,405,449,405,1635,3906,3394,118,290,291,42931,5,345977,5,209727,6
LOT-103,TRAY-1163,214415,87386,45031,118,3561,406,452,405,1721,3891,3375,118,290,291,42937,5,344821,5,209699,6
LOT-103,TRAY-1165,214326,87405,44879,119,3570,404,450,406,1743,3903,3467,118,291,290,42975,5,344887,5,209395,6
LOT-103,TRAY-1169,213409,87349,45021,118,3561,404,454,405,1749,3895,3436,118,290,291,42931,5,345977,5,209727,5
LOT-103,TRAY-1172,214252,87531,44962,118,3569,404,456,404,1906,3910,3378,118,290,291,43029,4,346812,5,210315,5
LOT-103,TRAY-1177,214361,87538,44912,118,3571,404,459,404,1807,3902,3432,118,291,291,42964,5,343722,5,210387,5
LOT-103,TRAY-1184,213980,86507,44907,118,3573,404,465,405,1792,3914,3397,117,290,291,42980,5,345281,5,209472,5
LOT-103,TRAY-1187,214050,87621,44762,119,3557,406,458,405,1555,3893,3357,118,290,291,42900,5,344261,5,210425,5
LOT-103,TRAY-1191,213916,87760,44433,118,3569,405,454,405,1677,3889,3321,118,291,290,42935,5,345863,6,210332,6
LOT-103,TRAY-1192,213733,87755,44620,119,3567,405,468,405,1863,3897,3437,118,290,291,42924,5,360091,5,209481,5
LOT-103,TRAY-1194,213500,86684,44867,119,3583,405,459,405,1551,3897,3454,117,291,290,42951,5,344524,6,210208,6
LOT-103,TRAY-1196,213570,86770,44875,118,3561,405,455,405,1746,3894,3431,118,290,291,42963,5,343722,5,210386,5
LOT-103,TRAY-1217,212767,87989,43499,118,3550,405,449,404,1837,3892,3415,118,290,291,42725,5,360327,5,209647,6
