tray_id,defect_rate,cell_count,defect_count,c4_temp_avg_mean,c4_temp_avg_std,c4_capa_mean,c4_capa_std,c4_voltage_avg_mean,c4_voltage_avg_std,c4_curr_end_mean,c4_curr_end_std,c4_time_cc_mean,c4_time_cc_std,c4_time_cv_mean,c4_time_cv_std,dt_start_mean,lot_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
TRAY-1039,0.0,17,0,296.0,0.0,4305.294117647059,4.209582905145621,3620.705882352941,5.253150315314914,135.88235294117646,0.332105582077532,2179.705882352941,3.771019521998513,946.2352941176471,109.21854776763234,1725197115.0,LOT-100,217400,86509,5121,119,3569,404,449,405,1678,3896,3403,118,290,291,53950,5,355741,5,215069,5
TRAY-1040,0.058823529411764705,17,1,291.0,0.0,4283.823529411765,13.861977195360915,3628.705882352941,4.312260223513174,136.0,0.0,2157.8823529411766,8.313260137734607,1076.5882352941176,96.33733623544495,1725197720.0,LOT-101,217400,86509,5120,118,3558,404,466,404,1776,3901,3493,118,290,290,53766,5,354793,5,215661,5
TRAY-1041,0.0,25,0,287.0,0.0,4296.16,17.890127631368607,3621.88,6.139489663916145,135.76,0.4358898943540631,2171.16,7.492663077971664,957.24,127.61996970171505,1725198670.0,LOT-100,213931,86507,4909,118,3580,405,451,404,1768,3905,3468,118,289,290,53337,5,356360,5,215232,6
TRAY-1042,0.0,24,0,282.0,0.0,4297.875,6.732868759981207,3623.125,4.235589379449428,135.75,0.4423258684646884,2169.9583333333335,3.223273608247226,975.5,89.30650689570744,1725199515.0,LOT-100,213929,86507,4908,118,3558,405,454,405,1620,3889,3403,118,290,291,54096,4,355249,5,215782,5
TRAY-1043,0.043478260869565216,23,1,269.0,0.0,4285.304347826087,10.420411711499325,3626.304347826087,4.300473363043238,135.69565217391303,0.47047196889696624,2159.608695652174,5.638658209464738,1024.3478260869565,94.5831085705977,1725200210.0,LOT-100,214549,86616,4293,118,3555,404,459,404,1787,3888,3443,118,280,280,53868,5,355778,5,215591,5
TRAY-1044,0.0,25,0,289.0,0.0,4299.08,6.369981684954954,3625.44,5.164623251829057,135.56,0.506622805119022,2168.12,5.3566158470935195,1017.04,108.21794367540593,1725200785.0,LOT-100,214548,86616,4294,118,3554,405,454,405,1795,3889,3469,118,290,290,54490,5,355050,5,215797,5
TRAY-1045,0.058823529411764705,17,1,289.0,0.0,4272.0,9.110433579144328,3626.8823529411766,6.253822360576531,135.7058823529412,0.4696682183138622,2154.6470588235293,6.2942550837111515,1045.0,135.12586724976086,1725201630.0,LOT-101,217166,86514,4729,118,3548,405,458,405,1840,3886,3544,118,290,291,53130,5,355878,6,215140,6
TRAY-1046,0.0,25,0,298.0,0.0,4284.56,11.704984693141055,3622.4,4.991659710623987,135.84,0.37416573867739733,2165.68,7.904218283085634,967.08,100.00329994555182,1725202400.0,LOT-101,217166,86516,4729,118,3562,404,456,405,1708,3895,3401,118,290,291,53223,5,355320,5,215112,6
TRAY-1047,0.04,25,1,288.0,0.0,4306.4,6.739188873051586,3624.12,4.5581428966923685,135.72,0.4582575694955823,2176.72,4.373404470966163,982.64,98.28991131681147,1725203305.0,LOT-100,214781,86475,5048,119,3562,404,451,405,1780,3893,3429,118,291,291,53721,5,356033,6,215338,5
TRAY-1048,0.0,25,0,275.0,0.0,4293.32,26.53098817106766,3624.2,6.861729616746295,135.76,0.43588989435406394,2165.76,12.593913874037176,970.52,139.95091996839463,1725204180.0,LOT-100,214781,86475,5049,119,3578,405,454,404,1869,3897,3495,117,290,291,53870,5,355778,5,215592,5
